OBJECTID,SHAPE_Area,SHAPE_Leng,WADMKC,WADMKK,WADMPR,mean,month,var,year
249,0.00245941913595,0.384481696202,Garut Kota,Garut,Jawa Barat,21.221695745558993,2,tmean_c,2022
299,0.0031484713815,0.298128997356,Kadungora,Garut,Jawa Barat,21.666175401308674,2,tmean_c,2022
314,0.00433984366237,0.307214204406,Karangpawitan,Garut,Jawa Barat,21.300045994349897,2,tmean_c,2022
317,0.00251785268648,0.225458478591,Karangtengah,Garut,Jawa Barat,21.143762570335753,2,tmean_c,2022
332,0.00199121169243,0.279712115836,Kersamanah,Garut,Jawa Barat,21.12002008328412,2,tmean_c,2022
356,0.00577596704376,0.469132088729,Leles,Garut,Jawa Barat,20.935364600952013,2,tmean_c,2022
365,0.00193521890584,0.331001480214,Leuwigoong,Garut,Jawa Barat,21.433685154653332,2,tmean_c,2022
381,0.00852173195363,0.49052935546,Malangbong,Garut,Jawa Barat,21.38060313852369,2,tmean_c,2022
396,0.00353988874243,0.333146337727,Mekarmukti,Garut,Jawa Barat,24.158547610328355,2,tmean_c,2022
420,0.0156765180059,0.80860228674,Pakenjeng,Garut,Jawa Barat,22.666331947188695,2,tmean_c,2022
428,0.00387713859664,0.3636260503,Pameungpeuk,Garut,Jawa Barat,25.431772940499457,2,tmean_c,2022
430,0.0104450021215,0.550010293389,Pamulihan,Garut,Jawa Barat,20.19247917510104,2,tmean_c,2022
438,0.00167772427629,0.334748194815,Pangatikan,Garut,Jawa Barat,21.233969624837243,2,tmean_c,2022
461,0.00451259005747,0.412668753736,Pasirwangi,Garut,Jawa Barat,18.32949565318003,2,tmean_c,2022
468,0.00456345295184,0.300907189797,Peundeuy,Garut,Jawa Barat,23.876718026898796,2,tmean_c,2022
506,0.0046456155587,0.434772276231,Samarang,Garut,Jawa Barat,19.401195739843526,2,tmean_c,2022
510,0.0029067808153,0.400490095756,Selaawi,Garut,Jawa Barat,22.053874008376887,2,tmean_c,2022
524,0.00431435996945,0.335034623681,Singajaya,Garut,Jawa Barat,22.270817039991478,2,tmean_c,2022
533,0.00258570591084,0.295153888781,Sucinaraja,Garut,Jawa Barat,21.26467840934839,2,tmean_c,2022
554,0.00267409968887,0.333443854312,Sukaresmi,Garut,Jawa Barat,18.583193340225126,2,tmean_c,2022
562,0.00303365528774,0.30755174976,Sukawening,Garut,Jawa Barat,21.236646001405518,2,tmean_c,2022
578,0.00895694247179,0.535401365841,Talegong,Garut,Jawa Barat,19.61893206554936,2,tmean_c,2022
597,0.00423073509134,0.296157460258,Tarogong Kaler,Garut,Jawa Barat,20.5107288360596,2,tmean_c,2022
598,0.00160665653325,0.256536759548,Tarogong Kidul,Garut,Jawa Barat,21.170455278669124,2,tmean_c,2022
621,0.00185013551746,0.317929292318,Wanaraja,Garut,Jawa Barat,21.25016063461956,2,tmean_c,2022
29,0.00994920128902,0.498717502599,Banjarwangi,Garut,Jawa Barat,21.304466056068154,3,tmean_c,2022
34,0.00387701787238,0.466619020777,Banyuresmi,Garut,Jawa Barat,21.614875869204106,3,tmean_c,2022
41,0.00377332165161,0.323563001001,Bayongbong,Garut,Jawa Barat,20.382632305271176,3,tmean_c,2022
69,0.0138913839324,0.896048780705,Bungbulang,Garut,Jawa Barat,22.7218396280772,3,tmean_c,2022
79,0.0093655059389,0.664791293249,Caringin,Garut,Jawa Barat,24.289371237532652,3,tmean_c,2022
93,0.0176866755796,0.734655704781,Cibalong,Garut,Jawa Barat,24.769558756354524,3,tmean_c,2022
96,0.0031259061506,0.356240171341,Cibatu,Garut,Jawa Barat,21.771575138839676,3,tmean_c,2022
110,0.00174291448018,0.226564261522,Cibiuk,Garut,Jawa Barat,21.861874565061775,3,tmean_c,2022
130,0.00272391026561,0.259079402271,Cigedug,Garut,Jawa Barat,19.87155561944397,3,tmean_c,2022
138,0.00447076701275,0.328957296726,Cihurip,Garut,Jawa Barat,22.653175008202243,3,tmean_c,2022
145,0.00877105191672,0.733471298424,Cikajang,Garut,Jawa Barat,20.867635251798646,3,tmean_c,2022
160,0.0144442726556,0.646888090051,Cikelet,Garut,Jawa Barat,24.323990720189283,3,tmean_c,2022
169,0.00653810063178,0.494807261914,Cilawu,Garut,Jawa Barat,21.412913438588777,3,tmean_c,2022
220,0.0131496583772,0.641894318181,Cisewu,Garut,Jawa Barat,22.000431376631557,3,tmean_c,2022
223,0.0141322512659,0.665266503991,Cisompet,Garut,Jawa Barat,24.18173569314979,3,tmean_c,2022
224,0.00750923336275,0.439466170018,Cisurupan,Garut,Jawa Barat,19.11581448006467,3,tmean_c,2022
249,0.00245941913595,0.384481696202,Garut Kota,Garut,Jawa Barat,21.58165790325429,3,tmean_c,2022
299,0.0031484713815,0.298128997356,Kadungora,Garut,Jawa Barat,22.092798874897166,3,tmean_c,2022
314,0.00433984366237,0.307214204406,Karangpawitan,Garut,Jawa Barat,21.661021321175816,3,tmean_c,2022
317,0.00251785268648,0.225458478591,Karangtengah,Garut,Jawa Barat,21.48538686690796,3,tmean_c,2022
332,0.00199121169243,0.279712115836,Kersamanah,Garut,Jawa Barat,21.538349188314694,3,tmean_c,2022
356,0.00577596704376,0.469132088729,Leles,Garut,Jawa Barat,21.327461591548737,3,tmean_c,2022
365,0.00193521890584,0.331001480214,Leuwigoong,Garut,Jawa Barat,21.841208020790898,3,tmean_c,2022
381,0.00852173195363,0.49052935546,Malangbong,Garut,Jawa Barat,21.811035115775383,3,tmean_c,2022
396,0.00353988874243,0.333146337727,Mekarmukti,Garut,Jawa Barat,24.04972448451548,3,tmean_c,2022
420,0.0156765180059,0.80860228674,Pakenjeng,Garut,Jawa Barat,22.645974005676692,3,tmean_c,2022
428,0.00387713859664,0.3636260503,Pameungpeuk,Garut,Jawa Barat,25.224361161262777,3,tmean_c,2022
430,0.0104450021215,0.550010293389,Pamulihan,Garut,Jawa Barat,20.335929315411416,3,tmean_c,2022
438,0.00167772427629,0.334748194815,Pangatikan,Garut,Jawa Barat,21.585425456877715,3,tmean_c,2022
461,0.00451259005747,0.412668753736,Pasirwangi,Garut,Jawa Barat,18.697781954575575,3,tmean_c,2022
468,0.00456345295184,0.300907189797,Peundeuy,Garut,Jawa Barat,23.832120370352182,3,tmean_c,2022
506,0.0046456155587,0.434772276231,Samarang,Garut,Jawa Barat,19.757073262518816,3,tmean_c,2022
510,0.0029067808153,0.400490095756,Selaawi,Garut,Jawa Barat,22.51448986131775,3,tmean_c,2022
524,0.00431435996945,0.335034623681,Singajaya,Garut,Jawa Barat,22.3553427159573,3,tmean_c,2022
533,0.00258570591084,0.295153888781,Sucinaraja,Garut,Jawa Barat,21.619481147080183,3,tmean_c,2022
554,0.00267409968887,0.333443854312,Sukaresmi,Garut,Jawa Barat,18.94803315500869,3,tmean_c,2022
562,0.00303365528774,0.30755174976,Sukawening,Garut,Jawa Barat,21.59190534465088,3,tmean_c,2022
578,0.00895694247179,0.535401365841,Talegong,Garut,Jawa Barat,19.81957659433621,3,tmean_c,2022
597,0.00423073509134,0.296157460258,Tarogong Kaler,Garut,Jawa Barat,20.868072932253632,3,tmean_c,2022
598,0.00160665653325,0.256536759548,Tarogong Kidul,Garut,Jawa Barat,21.529754831457694,3,tmean_c,2022
621,0.00185013551746,0.317929292318,Wanaraja,Garut,Jawa Barat,21.60338110123126,3,tmean_c,2022
29,0.00994920128902,0.498717502599,Banjarwangi,Garut,Jawa Barat,21.14722953550999,4,tmean_c,2022
34,0.00387701787238,0.466619020777,Banyuresmi,Garut,Jawa Barat,21.39622519570811,4,tmean_c,2022
41,0.00377332165161,0.323563001001,Bayongbong,Garut,Jawa Barat,20.232605308006576,4,tmean_c,2022
69,0.0138913839324,0.896048780705,Bungbulang,Garut,Jawa Barat,22.74488681996399,4,tmean_c,2022
79,0.0093655059389,0.664791293249,Caringin,Garut,Jawa Barat,24.388712910310748,4,tmean_c,2022
93,0.0176866755796,0.734655704781,Cibalong,Garut,Jawa Barat,24.718882952730304,4,tmean_c,2022
96,0.0031259061506,0.356240171341,Cibatu,Garut,Jawa Barat,21.57041309812603,4,tmean_c,2022
110,0.00174291448018,0.226564261522,Cibiuk,Garut,Jawa Barat,21.66448416242414,4,tmean_c,2022
130,0.00272391026561,0.259079402271,Cigedug,Garut,Jawa Barat,19.739230367872473,4,tmean_c,2022
138,0.00447076701275,0.328957296726,Cihurip,Garut,Jawa Barat,22.571669624623475,4,tmean_c,2022
145,0.00877105191672,0.733471298424,Cikajang,Garut,Jawa Barat,20.7608909942119,4,tmean_c,2022
160,0.0144442726556,0.646888090051,Cikelet,Garut,Jawa Barat,24.302878332360173,4,tmean_c,2022
169,0.00653810063178,0.494807261914,Cilawu,Garut,Jawa Barat,21.2293452136811,4,tmean_c,2022
220,0.0131496583772,0.641894318181,Cisewu,Garut,Jawa Barat,22.065515237384385,4,tmean_c,2022
223,0.0141322512659,0.665266503991,Cisompet,Garut,Jawa Barat,24.13026982135784,4,tmean_c,2022
224,0.00750923336275,0.439466170018,Cisurupan,Garut,Jawa Barat,19.009680586028544,4,tmean_c,2022
249,0.00245941913595,0.384481696202,Garut Kota,Garut,Jawa Barat,21.374119871634036,4,tmean_c,2022
299,0.0031484713815,0.298128997356,Kadungora,Garut,Jawa Barat,21.926999553958122,4,tmean_c,2022
314,0.00433984366237,0.307214204406,Karangpawitan,Garut,Jawa Barat,21.426933282167113,4,tmean_c,2022
317,0.00251785268648,0.225458478591,Karangtengah,Garut,Jawa Barat,21.238139873080797,4,tmean_c,2022
332,0.00199121169243,0.279712115836,Kersamanah,Garut,Jawa Barat,21.33173236186373,4,tmean_c,2022
356,0.00577596704376,0.469132088729,Leles,Garut,Jawa Barat,21.174001190163054,4,tmean_c,2022
365,0.00193521890584,0.331001480214,Leuwigoong,Garut,Jawa Barat,21.639722563613496,4,tmean_c,2022
381,0.00852173195363,0.49052935546,Malangbong,Garut,Jawa Barat,21.62418267710943,4,tmean_c,2022
396,0.00353988874243,0.333146337727,Mekarmukti,Garut,Jawa Barat,24.07868891821971,4,tmean_c,2022
420,0.0156765180059,0.80860228674,Pakenjeng,Garut,Jawa Barat,22.62156983226873,4,tmean_c,2022
428,0.00387713859664,0.3636260503,Pameungpeuk,Garut,Jawa Barat,25.214642694261386,4,tmean_c,2022
430,0.0104450021215,0.550010293389,Pamulihan,Garut,Jawa Barat,20.30280390180535,4,tmean_c,2022
438,0.00167772427629,0.334748194815,Pangatikan,Garut,Jawa Barat,21.340669441223156,4,tmean_c,2022
461,0.00451259005747,0.412668753736,Pasirwangi,Garut,Jawa Barat,18.598009219747073,4,tmean_c,2022
468,0.00456345295184,0.300907189797,Peundeuy,Garut,Jawa Barat,23.776000050658052,4,tmean_c,2022
506,0.0046456155587,0.434772276231,Samarang,Garut,Jawa Barat,19.62716098586499,4,tmean_c,2022
510,0.0029067808153,0.400490095756,Selaawi,Garut,Jawa Barat,22.395477507234844,4,tmean_c,2022
524,0.00431435996945,0.335034623681,Singajaya,Garut,Jawa Barat,22.231719023083883,4,tmean_c,2022
533,0.00258570591084,0.295153888781,Sucinaraja,Garut,Jawa Barat,21.37557312399502,4,tmean_c,2022
554,0.00267409968887,0.333443854312,Sukaresmi,Garut,Jawa Barat,18.841349320892004,4,tmean_c,2022
562,0.00303365528774,0.30755174976,Sukawening,Garut,Jawa Barat,21.350050918900656,4,tmean_c,2022
578,0.00895694247179,0.535401365841,Talegong,Garut,Jawa Barat,19.822255943243988,4,tmean_c,2022
597,0.00423073509134,0.296157460258,Tarogong Kaler,Garut,Jawa Barat,20.700667711893736,4,tmean_c,2022
598,0.00160665653325,0.256536759548,Tarogong Kidul,Garut,Jawa Barat,21.339580302768297,4,tmean_c,2022
621,0.00185013551746,0.317929292318,Wanaraja,Garut,Jawa Barat,21.359072184223063,4,tmean_c,2022
29,0.00994920128902,0.498717502599,Banjarwangi,Garut,Jawa Barat,21.6559351130401,5,tmean_c,2022
34,0.00387701787238,0.466619020777,Banyuresmi,Garut,Jawa Barat,21.914858196354277,5,tmean_c,2022
41,0.00377332165161,0.323563001001,Bayongbong,Garut,Jawa Barat,20.751159578435836,5,tmean_c,2022
69,0.0138913839324,0.896048780705,Bungbulang,Garut,Jawa Barat,23.189507378872463,5,tmean_c,2022
79,0.0093655059389,0.664791293249,Caringin,Garut,Jawa Barat,24.798878467609956,5,tmean_c,2022
93,0.0176866755796,0.734655704781,Cibalong,Garut,Jawa Barat,25.113948494818178,5,tmean_c,2022
96,0.0031259061506,0.356240171341,Cibatu,Garut,Jawa Barat,22.062349986711215,5,tmean_c,2022
110,0.00174291448018,0.226564261522,Cibiuk,Garut,Jawa Barat,22.153310800850377,5,tmean_c,2022
130,0.00272391026561,0.259079402271,Cigedug,Garut,Jawa Barat,20.25722736854734,5,tmean_c,2022
138,0.00447076701275,0.328957296726,Cihurip,Garut,Jawa Barat,23.01575509223387,5,tmean_c,2022
145,0.00877105191672,0.733471298424,Cikajang,Garut,Jawa Barat,21.264290658295927,5,tmean_c,2022
160,0.0144442726556,0.646888090051,Cikelet,Garut,Jawa Barat,24.74088418830517,5,tmean_c,2022
169,0.00653810063178,0.494807261914,Cilawu,Garut,Jawa Barat,21.752711171948686,5,tmean_c,2022
220,0.0131496583772,0.641894318181,Cisewu,Garut,Jawa Barat,22.552080762514517,5,tmean_c,2022
223,0.0141322512659,0.665266503991,Cisompet,Garut,Jawa Barat,24.55281636302012,5,tmean_c,2022
224,0.00750923336275,0.439466170018,Cisurupan,Garut,Jawa Barat,19.534184043998,5,tmean_c,2022
249,0.00245941913595,0.384481696202,Garut Kota,Garut,Jawa Barat,21.8920882590783,5,tmean_c,2022
299,0.0031484713815,0.298128997356,Kadungora,Garut,Jawa Barat,22.412772018183727,5,tmean_c,2022
314,0.00433984366237,0.307214204406,Karangpawitan,Garut,Jawa Barat,21.946489544539617,5,tmean_c,2022
317,0.00251785268648,0.225458478591,Karangtengah,Garut,Jawa Barat,21.765296144382944,5,tmean_c,2022
332,0.00199121169243,0.279712115836,Kersamanah,Garut,Jawa Barat,21.83049369202601,5,tmean_c,2022
356,0.00577596704376,0.469132088729,Leles,Garut,Jawa Barat,21.67677442202371,5,tmean_c,2022
365,0.00193521890584,0.331001480214,Leuwigoong,Garut,Jawa Barat,22.136183669159223,5,tmean_c,2022
381,0.00852173195363,0.49052935546,Malangbong,Garut,Jawa Barat,22.106871058264797,5,tmean_c,2022
396,0.00353988874243,0.333146337727,Mekarmukti,Garut,Jawa Barat,24.470206258630242,5,tmean_c,2022
420,0.0156765180059,0.80860228674,Pakenjeng,Garut,Jawa Barat,23.067471155095244,5,tmean_c,2022
