OBJECTID_1,SHAPE_Area,SHAPE_Leng,WADMKC,WADMKK,WADMPR,mean,month,var,year
223,0.0141322512659,0.665266503991,Cisompet,Garut,Jawa Barat,84.87812571438957,2,rh_percent,2022
224,0.00750923336275,0.439466170018,Cisurupan,Garut,Jawa Barat,89.09215368730848,2,rh_percent,2022
249,0.00245941913595,0.384481696202,Garut Kota,Garut,Jawa Barat,90.01474363127484,2,rh_percent,2022
299,0.0031484713815,0.298128997356,Kadungora,Garut,Jawa Barat,90.43749586155258,2,rh_percent,2022
314,0.00433984366237,0.307214204406,Karangpawitan,Garut,Jawa Barat,89.90460850720447,2,rh_percent,2022
317,0.00251785268648,0.225458478591,Karangtengah,Garut,Jawa Barat,89.82784808228448,2,rh_percent,2022
332,0.00199121169243,0.279712115836,Kersamanah,Garut,Jawa Barat,90.42778959088379,2,rh_percent,2022
356,0.00577596704376,0.469132088729,Leles,Garut,Jawa Barat,90.29893062055322,2,rh_percent,2022
365,0.00193521890584,0.331001480214,Leuwigoong,Garut,Jawa Barat,90.33404648872559,2,rh_percent,2022
381,0.00852173195363,0.49052935546,Malangbong,Garut,Jawa Barat,90.53686951927911,2,rh_percent,2022
396,0.00353988874243,0.333146337727,Mekarmukti,Garut,Jawa Barat,86.03761504411897,2,rh_percent,2022
420,0.0156765180059,0.80860228674,Pakenjeng,Garut,Jawa Barat,86.70167024080486,2,rh_percent,2022
428,0.00387713859664,0.3636260503,Pameungpeuk,Garut,Jawa Barat,82.6830006289692,2,rh_percent,2022
430,0.0104450021215,0.550010293389,Pamulihan,Garut,Jawa Barat,88.40702202284649,2,rh_percent,2022
438,0.00167772427629,0.334748194815,Pangatikan,Garut,Jawa Barat,89.8492683231671,2,rh_percent,2022
461,0.00451259005747,0.412668753736,Pasirwangi,Garut,Jawa Barat,90.23802124210296,2,rh_percent,2022
468,0.00456345295184,0.300907189797,Peundeuy,Garut,Jawa Barat,85.99789646895255,2,rh_percent,2022
506,0.0046456155587,0.434772276231,Samarang,Garut,Jawa Barat,90.09842597071912,2,rh_percent,2022
510,0.0029067808153,0.400490095756,Selaawi,Garut,Jawa Barat,90.90518034025999,2,rh_percent,2022
524,0.00431435996945,0.335034623681,Singajaya,Garut,Jawa Barat,87.78428651043745,2,rh_percent,2022
533,0.00258570591084,0.295153888781,Sucinaraja,Garut,Jawa Barat,89.85656032006331,2,rh_percent,2022
554,0.00267409968887,0.333443854312,Sukaresmi,Garut,Jawa Barat,90.20031703406137,2,rh_percent,2022
562,0.00303365528774,0.30755174976,Sukawening,Garut,Jawa Barat,89.89138925361063,2,rh_percent,2022
578,0.00895694247179,0.535401365841,Talegong,Garut,Jawa Barat,89.33838808827211,2,rh_percent,2022
597,0.00423073509134,0.296157460258,Tarogong Kaler,Garut,Jawa Barat,90.0848988120049,2,rh_percent,2022
598,0.00160665653325,0.256536759548,Tarogong Kidul,Garut,Jawa Barat,90.08677116488741,2,rh_percent,2022
621,0.00185013551746,0.317929292318,Wanaraja,Garut,Jawa Barat,89.85311298178704,2,rh_percent,2022
19,0.00704721667414,0.551937022069,Balubur Limbangan,Garut,Jawa Barat,90.15200117612969,3,rh_percent,2022
29,0.00994920128902,0.498717502599,Banjarwangi,Garut,Jawa Barat,90.01768330431011,3,rh_percent,2022
34,0.00387701787238,0.466619020777,Banyuresmi,Garut,Jawa Barat,89.84042521331183,3,rh_percent,2022
41,0.00377332165161,0.323563001001,Bayongbong,Garut,Jawa Barat,89.97481794662735,3,rh_percent,2022
69,0.0138913839324,0.896048780705,Bungbulang,Garut,Jawa Barat,89.60791094768227,3,rh_percent,2022
79,0.0093655059389,0.664791293249,Caringin,Garut,Jawa Barat,88.93053636627181,3,rh_percent,2022
93,0.0176866755796,0.734655704781,Cibalong,Garut,Jawa Barat,87.09024909690388,3,rh_percent,2022
96,0.0031259061506,0.356240171341,Cibatu,Garut,Jawa Barat,89.96869561566129,3,rh_percent,2022
110,0.00174291448018,0.226564261522,Cibiuk,Garut,Jawa Barat,89.99963238769841,3,rh_percent,2022
130,0.00272391026561,0.259079402271,Cigedug,Garut,Jawa Barat,89.85544778612932,3,rh_percent,2022
138,0.00447076701275,0.328957296726,Cihurip,Garut,Jawa Barat,89.21532486739675,3,rh_percent,2022
145,0.00877105191672,0.733471298424,Cikajang,Garut,Jawa Barat,89.9367735570242,3,rh_percent,2022
160,0.0144442726556,0.646888090051,Cikelet,Garut,Jawa Barat,87.23548357974185,3,rh_percent,2022
169,0.00653810063178,0.494807261914,Cilawu,Garut,Jawa Barat,89.9207117847143,3,rh_percent,2022
220,0.0131496583772,0.641894318181,Cisewu,Garut,Jawa Barat,90.35426048033584,3,rh_percent,2022
223,0.0141322512659,0.665266503991,Cisompet,Garut,Jawa Barat,87.56827439672546,3,rh_percent,2022
224,0.00750923336275,0.439466170018,Cisurupan,Garut,Jawa Barat,90.09501480628263,3,rh_percent,2022
249,0.00245941913595,0.384481696202,Garut Kota,Garut,Jawa Barat,89.89636515428876,3,rh_percent,2022
299,0.0031484713815,0.298128997356,Kadungora,Garut,Jawa Barat,90.04833783863681,3,rh_percent,2022
314,0.00433984366237,0.307214204406,Karangpawitan,Garut,Jawa Barat,89.7627150409445,3,rh_percent,2022
317,0.00251785268648,0.225458478591,Karangtengah,Garut,Jawa Barat,89.77095116728066,3,rh_percent,2022
332,0.00199121169243,0.279712115836,Kersamanah,Garut,Jawa Barat,89.89987386839151,3,rh_percent,2022
356,0.00577596704376,0.469132088729,Leles,Garut,Jawa Barat,90.08752713842587,3,rh_percent,2022
365,0.00193521890584,0.331001480214,Leuwigoong,Garut,Jawa Barat,89.9489979526034,3,rh_percent,2022
381,0.00852173195363,0.49052935546,Malangbong,Garut,Jawa Barat,89.99771007779925,3,rh_percent,2022
396,0.00353988874243,0.333146337727,Mekarmukti,Garut,Jawa Barat,88.75724730582677,3,rh_percent,2022
420,0.0156765180059,0.80860228674,Pakenjeng,Garut,Jawa Barat,89.30974598170287,3,rh_percent,2022
428,0.00387713859664,0.3636260503,Pameungpeuk,Garut,Jawa Barat,86.00276298489317,3,rh_percent,2022
430,0.0104450021215,0.550010293389,Pamulihan,Garut,Jawa Barat,90.4142848975134,3,rh_percent,2022
438,0.00167772427629,0.334748194815,Pangatikan,Garut,Jawa Barat,89.74625200300824,3,rh_percent,2022
461,0.00451259005747,0.412668753736,Pasirwangi,Garut,Jawa Barat,90.33133251457855,3,rh_percent,2022
468,0.00456345295184,0.300907189797,Peundeuy,Garut,Jawa Barat,88.30775414923663,3,rh_percent,2022
506,0.0046456155587,0.434772276231,Samarang,Garut,Jawa Barat,90.1363735431837,3,rh_percent,2022
510,0.0029067808153,0.400490095756,Selaawi,Garut,Jawa Barat,90.32536593025947,3,rh_percent,2022
524,0.00431435996945,0.335034623681,Singajaya,Garut,Jawa Barat,89.70291116948964,3,rh_percent,2022
533,0.00258570591084,0.295153888781,Sucinaraja,Garut,Jawa Barat,89.73784377687294,3,rh_percent,2022
554,0.00267409968887,0.333443854312,Sukaresmi,Garut,Jawa Barat,90.28157730566949,3,rh_percent,2022
562,0.00303365528774,0.30755174976,Sukawening,Garut,Jawa Barat,89.76661253611222,3,rh_percent,2022
578,0.00895694247179,0.535401365841,Talegong,Garut,Jawa Barat,91.0301827209573,3,rh_percent,2022
