kecamatan,year,ir,jumlah_kasus,curah_hujan,kelembapan,temperature,kepadatan_penduduk,jumlah_penduduk,ir_z_score,curah_hujan_z_score,kelembapan_z_score,temperature_z_score,kepadatan_penduduk_z_score,cluster,risk_category
Balubur Limbangan,2022,367.8887484197219,291,329.27181789691866,88.02470682126653,22.00632117630919,1075,79100,5.416344969728545,-0.337484717572352,-0.827234734687967,0.36055411949776,-0.2302946250936385,2,Tinggi
Banjarwangi,2022,1.718213058419244,1,368.9169282197,89.78355347128944,20.91497084307221,470,58200,-0.4330601729683187,1.139044446318899,1.2321920070145345,-0.3580468515658745,-0.7492540454225989,0,Rendah
Banyuresmi,2022,16.216216216216214,15,309.9762771482664,89.2239750026287,21.17075246393669,1933,92500,-0.2014612701609815,-1.0561213518628003,0.5769837417426078,-0.1896271282784184,0.505684189191069,1,Sedang
Bayongbong,2022,29.580152671755727,31,303.0110471412581,88.98734332229402,20.03047930434384,2201,104800,0.0120214409822705,-1.315532037186294,0.2999126222058954,-0.940441394611075,0.7355703456343109,1,Sedang
Bungbulang,2022,0.0,0,355.6736518060529,88.63970112586001,22.47954323612461,398,58500,-0.4605078328141594,0.6458163107173505,-0.1071402813949213,0.6721477676194153,-0.8110145053625744,0,Rendah
Caringin,2022,0.0,0,348.097338831536,88.13398945549447,24.067885698127444,329,32600,-0.4605078328141594,0.3636466567407878,-0.6992761208259922,1.7179938179811365,-0.8702016128050508,2,Tinggi
Cibalong,2022,0.0,0,352.5536567967277,87.05218649118972,24.35379597819598,213,45400,-0.4605078328141594,0.5296162652399492,-1.9659550287985783,1.9062517940289725,-0.969704576041678,2,Tinggi
Cibatu,2022,2.67022696929239,2,318.9070613512079,88.77469931974387,21.42843008267683,1809,74900,-0.4178521905437207,-0.723506226701072,0.0509285818356162,-0.0199589828545588,0.3993189526277779,1,Sedang
Cibiuk,2022,5.633802816901409,2,310.9098043655221,88.71935825328462,21.52130644122456,1783,35500,-0.3705104354604732,-1.0213533779476849,-0.0138700588980877,0.0411955698208387,0.3770165643161201,1,Sedang
Cigedug,2022,2.242152466367713,1,339.1517981507907,88.9427376344773,19.57036923591127,1431,44600,-0.4246904829704839,0.0304819462794809,0.2476839948149828,-1.2434014358575236,0.0750765379429067,1,Sedang
Cihurip,2022,0.0,0,370.4146589437212,88.98372695911202,22.27065570344963,467,18900,-0.4605078328141594,1.1948254260076456,0.2956782365392248,0.5346055144566705,-0.7518273979200979,0,Rendah
Cikajang,2022,2.347417840375587,2,337.68085940480324,89.2639475451033,20.542721794421844,682,85200,-0.4230089172501235,-0.0243012019843301,0.623787437167084,-0.6031546961241471,-0.5674038022660045,0,Rendah
Cikelet,2022,0.0,0,346.4972191868124,86.61841372531426,24.024183270785148,263,45300,-0.4605078328141594,0.3040523385029589,-2.473857883123342,1.689217900872223,-0.9268153677500284,2,Tinggi
Cilawu,2022,1.828153564899452,2,331.5115371138256,89.37594594031538,20.9881301283325,1410,109400,-0.4313039241664825,-0.2540693678415558,0.7549259250645348,-0.3098750300808031,0.0570630704604139,1,Sedang
Cisewu,2022,0.0,0,365.039860345004,89.2110688803432,21.773808595930337,194,33500,-0.4605078328141594,0.9946482335005676,0.5618720130617161,0.2074559245769968,-0.9860024751925048,0,Rendah
Cisompet,2022,35.580524344569284,19,360.1305339004645,87.29258711722446,23.81100620384882,310,53400,0.1078746064654413,0.8118069294555713,-1.684470865314785,1.548851198591958,-0.8864995119558776,2,Tinggi
Cisurupan,2022,35.21126760563381,35,327.63722491569723,88.85479570485604,18.857069355670607,1229,99400,0.1019759006463797,-0.3983629491680022,0.1447131294603671,-1.7130746205260912,-0.0981958635553577,1,Sedang
Garut Kota,2022,34.375,44,337.23660236195195,89.19613391435438,21.140293043867143,4619,128000,0.0886169119766918,-0.040846961970703,0.5443847191333849,-0.2096831709380573,2.8096924586184864,1,Sedang
Kadungora,2022,16.0427807486631,15,305.5746985707267,88.77891485767975,21.73951201289157,2506,93500,-0.204231821633208,-1.220052265006501,0.0558645389048094,0.1848732972342965,0.9971945162133736,1,Sedang
Karangpawitan,2022,17.857142857142858,25,360.3758104525047,89.26265104931213,21.21306582255802,2689,140000,-0.1752482251306003,0.8209419269207676,0.6222693752582603,-0.1617658451796503,1.154169018560811,0,Rendah
Karangtengah,2022,0.0,0,367.13155452846354,89.60492447088025,21.04253541237873,811,18900,-0.4605078328141594,1.0725505886377908,1.0230360011276776,-0.2740518037931873,-0.4567496448735485,0,Rendah
Kersamanah,2022,35.6234096692112,14,323.7669913631468,88.90592401313984,21.19367767531039,2381,39300,0.1085596797148745,-0.5425046267894008,0.2045790679356075,-0.174531994613945,0.8899714954842495,1,Sedang
Leles,2022,3.525264394829612,3,320.9697932482257,88.8712221123072,20.96283952216623,1157,85100,-0.4041933626721642,-0.6466825332256794,0.1639467464300771,-0.3265276608597435,-0.1599563234953331,1,Sedang
Leuwigoong,2022,42.10526315789474,20,315.8767006149709,88.87009996447546,21.470368620207186,2454,47500,0.2121042947765483,-0.8363679634382194,0.1626328278728272,0.0076554988352163,0.952589739590058,1,Sedang
Malangbong,2022,25.0,33,333.6771826040069,88.75906060755146,21.49241301630177,1429,132000,-0.0611443820571767,-0.1734127950922876,0.0326172741986348,0.0221706585943154,0.0733609696112407,1,Sedang
Mekarmukti,2022,0.0,0,327.2440644532221,87.98327344577315,23.800180018821035,339,18700,-0.4605078328141594,-0.4130056852887265,-0.875748913845635,1.5417226837265197,-0.8616237711467208,2,Tinggi
Pakenjeng,2022,0.0,0,349.6897671870108,88.51421745195275,22.37766957643478,347,68900,-0.4605078328141594,0.4229545231869256,-0.2540686299739975,0.6050689309256244,-0.854761497820057,0,Rendah
Pameungpeuk,2022,0.0,0,332.0913541384774,85.4588225817609,24.91544511818323,983,43400,-0.4605078328141594,-0.2324748574555659,-3.8316186694000014,2.2760703619995324,-0.3092107683502738,2,Tinggi
Pamulihan,2022,0.0,0,360.6938710723798,89.20409426958952,20.098423668737183,142,18800,-0.4605078328141594,0.8327876697452251,0.5537054682984633,-0.8957033441937147,-1.0306072518158205,0,Rendah
Pangatikan,2022,16.35514018691589,7,357.96129391621645,89.44403089304596,21.13900707198161,2172,42800,-0.1992420239077221,0.7310164845774106,0.8346463329574544,-0.2105299207099328,0.7106946048251541,0,Rendah
Pasirwangi,2022,18.29268292682927,12,326.2153529428475,88.68670160179113,18.45085474726231,1405,65600,-0.1682906737236842,-0.4513186710247223,-0.052107605860633,-1.980547129740098,0.0527741496312489,1,Sedang
Peundeuy,2022,128.63070539419087,31,386.0396303250392,88.31764851583227,23.40084214673961,424,24100,1.5943082623669966,1.7767566084824995,-0.4842304372181011,1.278778170016562,-0.7887121170509166,2,Tinggi
Samarang,2022,100.63694267515925,79,288.2964576554577,88.77427645372929,19.43683582031781,1315,78500,1.1471208352012108,-1.863557262329559,0.050433449654201,-1.3313266778192785,-0.0244264252937203,1,Sedang
Selaawi,2022,51.52224824355972,22,330.6578670027547,87.96855048966712,22.31307383928122,1253,42700,0.3625362811580767,-0.2858631705343988,-0.8929879662219576,0.562535788238582,-0.0776090435753658,2,Tinggi
Singajaya,2022,0.0,0,381.0825781949665,89.71010471734532,21.934971246600487,705,47700,-0.4605078328141594,1.5921378250464076,1.146191145020523,0.3135736704040935,-0.5476747664518457,0,Rendah
Sucinaraja,2022,0.0,0,378.73724747237367,89.38925861123003,21.171848488016625,880,29800,-0.4605078328141594,1.5047891158945363,0.7705136799633345,-0.1889054498730851,-0.397562537431072,0,Rendah
Sukaresmi,2022,2.469135802469136,1,322.42164551382353,88.70245523933947,18.683661981370683,1150,40500,-0.4210645290356921,-0.5926102354224128,-0.0336617325687664,-1.8272549197082253,-0.165960812656164,1,Sedang
Sukawening,2022,47.12041884816754,27,337.25400332993866,89.41334203353559,21.15324590384873,1475,57300,0.2922190900785829,-0.0401988861675808,0.7987128660192203,-0.2011543443300028,0.1128190412395584,1,Sedang
Talegong,2022,0.0,0,373.88106897026734,89.4394303125987,19.60149331518523,265,28800,-0.4605078328141594,1.3239272359541632,0.8292595311005003,-1.2229077475261214,-0.9250997994183624,0,Rendah
Tarogong Kaler,2022,134.14634146341464,132,279.1150938866197,89.0049059766402,20.474457775341595,1946,98400,1.682418000515992,-2.205504888622169,0.3204766662715491,-0.6481032235637973,0.5168353833468978,1,Sedang
Tarogong Kidul,2022,30.04291845493562,35,277.3846572442869,89.15263221392571,21.09270020000847,5986,116500,0.0194139105847897,-2.269952689318595,0.493448746306445,-0.2410207375937468,3.9822834133121865,1,Sedang
Wanaraja,2022,6.097560975609756,3,361.244206857145,89.41515255856287,21.15632249806417,1396,49200,-0.3631021131173344,0.8532841907417085,0.8008328027730333,-0.1991285570796098,0.045054092138752,0,Rendah
Balubur Limbangan,2023,299.75124378109456,241,208.4519511252225,82.51152254380865,22.414879281340102,1093,80400,5.429844998436891,0.6596106407905576,-2.4386112091124885,0.6012033365805355,-0.2351769341740004,2,Tinggi
Banjarwangi,2023,0.0,0,208.869514830564,86.94423856624553,20.94691844697209,478,59100,-0.4627582636900505,0.6840876844437679,1.3418090380379637,-0.4074260805021625,-0.7516823512060922,0,Rendah
Banyuresmi,2023,31.746031746031747,30,190.6194594329665,85.91257994068017,21.20925909750582,1973,94500,0.1613151108406825,-0.3857069287522889,0.4619640092804921,-0.2271729761754044,0.5038877275954966,0,Rendah
Bayongbong,2023,4.664179104477612,5,186.58175063667045,85.02224745781983,20.12594563398272,2252,107200,-0.3710683789059176,-0.6223921894721265,-0.2973517077346076,-0.97151288065355,0.7382048192246894,2,Tinggi
Bungbulang,2023,1.6722408026755853,1,195.35239781966644,86.178735576553,22.465731766558367,407,59800,-0.4298848334263079,-0.1082682097801271,0.6889535456401139,0.6361438549663593,-0.8113114318715857,0,Rendah
Caringin,2023,0.0,0,188.99706195473632,86.33233762620374,24.010511906195987,336,33200,-0.4627582636900505,-0.4808097678867929,0.8199523047675373,1.697555478004941,-0.8709405125370793,1,Sedang
Cibalong,2023,4.310344827586206,2,160.51521353938531,85.16917137023717,24.26337672144397,217,46400,-0.3780241632688518,-2.1503788373933057,-0.1720483653861153,1.8712977776856403,-0.9708822111172726,1,Sedang
Cibatu,2023,9.138381201044384,7,204.32677247600907,84.62734908805976,21.65191689393018,1848,76600,-0.2831131212827051,0.417798010568028,-0.6341388569792752,0.0769752440779186,0.3989069517759657,2,Tinggi
Cibiuk,2023,2.747252747252748,1,202.0686109036476,84.54146593105312,21.737578811411947,1830,36400,-0.4087519139710447,0.2854275035636129,-0.7073838886920426,0.135833169897865,0.3837897200579533,2,Tinggi
Cigedug,2023,2.1834061135371177,1,204.7775435426072,85.30592347288832,19.68426517882061,1468,45800,-0.4198361866207971,0.4442216267338614,-0.0554200014020344,-1.2749895740346608,0.079765393284592,0,Rendah
Cihurip,2023,5.208333333333334,1,198.6553163926535,86.45707349924307,22.25807805401622,475,19200,-0.3603712256811021,0.0853445996183543,0.9263326859146754,0.4934659046199425,-0.754201889825761,0,Rendah
Cikajang,2023,0.0,0,200.1029219741964,86.2962905347482,20.55896027681047,696,87000,-0.4627582636900505,0.1702013641282853,0.7892097185744104,-0.6739904287199757,-0.5685958781768304,0,Rendah
Cikelet,2023,0.0,0,164.92545400491662,84.99508965653222,23.88098846905245,268,46300,-0.4627582636900505,-1.891856252659357,-0.3205131061495113,1.6085604954100028,-0.928050054582904,1,Sedang
Cilawu,2023,30.438675022381386,34,199.010152497167,86.21775512354219,20.98914876376019,1439,111700,0.1356146853899989,0.1061446325446104,0.7222311760423199,-0.3784098160297274,0.0554098532944608,0,Rendah
