kecamatan,year,ir,jumlah_kasus,curah_hujan,kelembapan,temperature,kepadatan_penduduk,jumlah_penduduk,ir_z_score,curah_hujan_z_score,kelembapan_z_score,temperature_z_score,kepadatan_penduduk_z_score
Balubur Limbangan,2022,367.8887484197219,291,329.27181789691866,88.02470682126653,22.00632117630919,1075,79100,5.416344969728545,-0.337484717572352,-0.827234734687967,0.36055411949776,-0.23029462509363852
Banjarwangi,2022,1.718213058419244,1,368.9169282197,89.78355347128944,20.91497084307221,470,58200,-0.4330601729683187,1.139044446318899,1.2321920070145345,-0.3580468515658745,-0.7492540454225989
Banyuresmi,2022,16.216216216216214,15,309.9762771482664,89.2239750026287,21.17075246393669,1933,92500,-0.2014612701609815,-1.0561213518628005,0.5769837417426078,-0.1896271282784184,0.505684189191069
Bayongbong,2022,29.580152671755727,31,303.0110471412581,88.98734332229402,20.03047930434384,2201,104800,0.012021440982270523,-1.315532037186294,0.2999126222058954,-0.940441394611075,0.7355703456343109
Bungbulang,2022,0.0,0,355.6736518060529,88.63970112586001,22.47954323612461,398,58500,-0.46050783281415947,0.6458163107173505,-0.10714028139492139,0.6721477676194153,-0.8110145053625744
Caringin,2022,0.0,0,348.097338831536,88.13398945549447,24.067885698127444,329,32600,-0.46050783281415947,0.36364665674078783,-0.6992761208259922,1.7179938179811363,-0.8702016128050508
Cibalong,2022,0.0,0,352.5536567967277,87.05218649118972,24.35379597819598,213,45400,-0.46050783281415947,0.5296162652399492,-1.9659550287985785,1.9062517940289725,-0.9697045760416779
Cibatu,2022,2.67022696929239,2,318.9070613512079,88.77469931974387,21.42843008267683,1809,74900,-0.41785219054372075,-0.723506226701072,0.05092858183561622,-0.019958982854558893,0.3993189526277779
Cibiuk,2022,5.633802816901409,2,310.9098043655221,88.71935825328462,21.52130644122456,1783,35500,-0.37051043546047324,-1.0213533779476849,-0.013870058898087782,0.041195569820838704,0.3770165643161201
Cigedug,2022,2.242152466367713,1,339.1517981507907,88.9427376344773,19.57036923591127,1431,44600,-0.4246904829704839,0.030481946279480934,0.24768399481498288,-1.2434014358575236,0.07507653794290675
