kecamatan,year,ir,jumlah_kasus,curah_hujan,kelembapan,temperature,kepadatan_penduduk,jumlah_penduduk
Leles,2023,2.2988505747126435,2,201.42128356404248,84.50353427247397,21.1105941306682,1184,87000
Leuwigoong,2023,55.55555555555556,27,199.33074625105155,84.94622578850168,21.63853999194122,2514,48600
Malangbong,2023,37.064492216456635,50,211.28379460662856,84.2036278370435,21.792964814284744,1461,134900
Mekarmukti,2023,0.0,0,162.36220370182286,85.99830132424246,23.730163955611197,349,19300
Pakenjeng,2023,0.0,0,187.53069568829645,86.07250049746165,22.353970209552003,353,70100
Pameungpeuk,2023,2.2522522522522523,1,149.8208085634018,84.29522225291517,24.713173141636588,1006,44400
Pamulihan,2023,0.0,0,212.17456639469768,85.86696435270038,20.17857643266704,145,19200
Pangatikan,2023,4.566210045662101,2,212.28729966116484,86.55659903997629,21.206006661106837,2220,43800
Pasirwangi,2023,0.0,0,202.4607571508759,83.55289652776139,18.674839187818797,1430,66800
Peundeuy,2023,126.53061224489797,31,194.54985017811043,85.98762538519553,23.37322307314938,432,24500
Samarang,2023,44.887780548628434,36,181.4930659264893,83.98695485339363,19.594250155457814,1343,80200
Selaawi,2023,70.77625570776256,31,209.99909556223145,81.97301326105364,22.760049495056546,1285,43800
Singajaya,2023,0.0,0,205.14462386666435,87.09060490609431,21.953945046633127,717,48600
Sucinaraja,2023,0.0,0,223.42610096114785,86.47798695902956,21.2302842434182,902,30500
Sukaresmi,2023,2.4213075060532687,1,197.7941581249487,83.64051281636524,18.892165102018865,1174,41300
Sukawening,2023,18.739352640545146,11,207.02100406443745,86.44566249375782,21.233594257864244,1512,58700
Talegong,2023,0.0,0,220.64856717394863,86.16321477148932,19.662012232469905,269,29300
Tarogong Kaler,2023,69.37561942517344,70,175.4998166702511,84.86194866175143,20.5551500840626,1995,100900
Tarogong Kidul,2023,12.626262626262626,15,171.79297395352543,85.41443462973552,21.12718317317444,6102,118800
Wanaraja,2023,3.9761431411530817,2,213.83954518620249,86.51515132422071,21.21880686075497,1427,50300
Balubur Limbangan,2024,414.81481481481484,336,242.5177518183923,85.42454489164182,22.63971809983156,1101,81000
Banjarwangi,2024,8.389261744966442,5,273.69527711192364,88.3861542341648,21.39711589535251,481,59600
Banyuresmi,2024,207.94148380355276,199,227.8358752458469,87.8281977310603,21.56192406486869,1998,95700
Bayongbong,2024,44.11764705882353,48,225.87858394708584,87.2784706624978,20.45772191455622,2284,108800
Bungbulang,2024,69.65174129353234,42,259.6225113768068,87.38369717952293,22.9403968212028,410,60300
Caringin,2024,145.40059347181008,49,253.80469579289888,87.27258586306111,24.51794099103674,340,33700
Cibalong,2024,53.19148936170213,25,242.35472480632515,86.0796083649094,24.80205198243057,220,47000
Cibatu,2024,194.83870967741936,151,236.84021931663767,86.89671744405693,21.962195161312845,1872,77500
Cibiuk,2024,56.60377358490566,21,232.83095210184297,86.85306308496251,22.0388327950398,1862,37100
Cigedug,2024,21.459227467811157,10,251.00472879824687,87.30643738957816,20.05416829878214,1494,46600
Cihurip,2024,25.77319587628866,5,266.3995349727281,87.70257069522295,22.744878599497543,480,19400
Cikajang,2024,23.863636363636363,21,254.5228059892761,87.77945698024705,21.00140735312868,704,88000
Cikelet,2024,83.15565031982942,39,243.097638458838,85.6753323641547,24.464680228658988,272,46900
Cilawu,2024,268.788682581786,304,247.9439242049062,87.94103547569519,21.375718039900534,1456,113100
Cisewu,2024,5.847953216374269,2,271.89420783440863,87.9171155637451,22.21344783845127,198,34200
Cisompet,2024,209.09090909090907,115,256.1034716414723,86.25709060604275,24.259309878139835,319,55000
Cisurupan,2024,95.09803921568628,97,248.39098395048143,87.03988844783792,19.35747034740337,1261,102000
Garut Kota,2024,94.08194233687405,124,251.76455199435563,87.72777620804574,21.519075873044187,4757,131800
Kadungora,2024,137.9668049792531,133,230.276844209905,86.8170361945461,22.22403935696973,2584,96400
Karangpawitan,2024,185.96730245231606,273,264.57703130907487,87.96770044998641,21.621447552276063,2820,146800
Karangtengah,2024,20.304568527918782,4,264.92297434762247,88.32888810225286,21.54840890571028,847,19700
Kersamanah,2024,187.192118226601,76,235.12829884295897,86.9439452816883,21.779103187669797,2463,40600
Leles,2024,31.746031746031747,28,239.48875427635,86.97399462638725,21.391915532220164,1200,88200
Leuwigoong,2024,182.18623481781376,90,234.72465017218084,87.13476104447408,21.952782027349038,2554,49400
Malangbong,2024,136.7959034381858,187,242.00073528418903,86.57118988722594,22.102922439130392,1480,136700
Mekarmukti,2024,25.510204081632654,5,230.4763294057493,86.94205661115775,24.256401415039782,355,19600
Pakenjeng,2024,25.459688826025456,18,253.6774459157804,87.2457385240051,22.84623400690035,356,70700
Pameungpeuk,2024,24.444444444444443,11,228.6726368321513,84.71995455147932,25.34350149785026,1019,45000
Pamulihan,2024,0.0,0,268.6328006982106,87.59823969542389,20.582374152808445,146,19400
Pangatikan,2024,24.774774774774777,11,258.27794003211545,88.18524078485954,21.600692689103024,2250,44400
Pasirwangi,2024,43.02670623145401,29,249.74729714027845,86.57599921484116,18.94165234797538,1443,67400
Peundeuy,2024,282.258064516129,70,269.2862662413975,87.17865865247707,23.86453060936565,436,24800
Samarang,2024,158.86699507389162,129,221.0970330287605,86.79725943360252,19.86777605898032,1360,81200
Selaawi,2024,447.19101123595505,199,241.7230804269876,85.11370032948373,22.972583101346924,1305,44500
Singajaya,2024,0.0,0,275.54419021575967,88.42146171116968,22.43914566295554,724,49000
Sucinaraja,2024,148.38709677419354,46,274.5430448311657,88.13633957042778,21.618491423875017,916,31000
Sukaresmi,2024,7.177033492822967,3,244.52601938251905,86.61968299790244,19.15970855716437,1188,41800
Sukawening,2024,50.25125628140704,30,245.64342779015217,88.11076631113708,21.62418440455167,1536,59700
Talegong,2024,0.0,0,276.5875067021511,87.91648415957275,20.028445905105134,271,29500
Tarogong Kaler,2024,175.43859649122808,180,209.51936721281564,87.27079783743322,20.85977387216476,2029,102600
Tarogong Kidul,2024,65.83333333333334,79,209.2647178653172,87.5708675783355,21.452125573318398,6168,120000
Wanaraja,2024,147.05882352941177,75,261.05377571542465,88.15945793301972,21.6100769579171,1447,51000
